,prod_lote,quant_lote,data_prod,target_data_prod,produto_prod_type,prodvol_target,codigo_prod_rfid,codigo_prod_qr,list_flag_prod
0,LOTE0050,700,01-07-2022 15:34:06,700,MAXICAM 2,700,1408A8DBF5CEE1BF38BAD898,CAD244725310C241MAXICAM2,Y
1,LOTE0050,700,01-07-2022 15:34:09,700,MAXICAM 2,700,69B3347EA9CB47FF1E0C83E6,37913D1E30BE8438MAXICAM2,Y
2,LOTE0050,700,01-07-2022 15:34:10,700,MAXICAM 2,700,221C9919FFC585DAEFFCD1F5,6225A9D2D1A51A43MAXICAM2,Y
3,LOTE0050,700,01-07-2022 15:34:13,700,MAXICAM 2,700,FEAB63DC62EA2AFA5E827FB4,B67DE1BC99C3EB08MAXICAM2,Y
4,LOTE0050,700,01-07-2022 15:34:14,700,MAXICAM 2,700,6CBC1188D6D32104026F5C43,38E20623D3B5CBD0MAXICAM2,Y
5,LOTE0050,700,01-07-2022 15:34:16,700,MAXICAM 2,700,E070FBE9234C1D42EAF5E718,07E7C2BC246EABDDMAXICAM2,Y
6,LOTE0050,700,01-07-2022 15:34:18,700,MAXICAM 2,700,E77F0FD4211EBA36B8452080,676616A76F85E8BDMAXICAM2,Y
7,LOTE0050,700,01-07-2022 15:34:19,700,MAXICAM 2,700,B406DCAAD56FB9C13B37B988,B60C4E04527363A3MAXICAM2,Y
8,LOTE0050,700,01-07-2022 15:34:21,700,MAXICAM 2,700,0FBF089888F0A212CFBA1AC3,670A90F141E991FEMAXICAM2,Y
9,LOTE0050,700,01-07-2022 15:34:23,700,MAXICAM 2,700,B6704B527F8FA28F7EDDFDEA,4E2BAC3ABEE297FBMAXICAM2,Y
10,LOTE0050,700,01-07-2022 15:34:25,700,MAXICAM 2,700,9AA2360826E92CA5ACD18139,45B3E3C347448B2DMAXICAM2,Y
11,LOTE0050,700,01-07-2022 15:34:26,700,MAXICAM 2,700,6E38C80B4BE6AFA0882009FC,843EA7B73E2DE54DMAXICAM2,Y
12,LOTE0050,700,01-07-2022 15:34:27,700,MAXICAM 2,700,C7176A1BA63CC952D6C5B75A,7D631DF78A4C587AMAXICAM2,Y
13,LOTE0050,700,01-07-2022 15:34:30,700,MAXICAM 2,700,2D68180EA8CC6E22D8EBA89A,9E8319645DF4FE93MAXICAM2,Y
14,LOTE0050,700,01-07-2022 15:34:32,700,MAXICAM 2,700,BF55AE1C9982F76462F672EA,E0706C99FBDD9204MAXICAM2,Y
15,LOTE0050,700,01-07-2022 15:34:35,700,MAXICAM 2,700,5E18AF8BF9AA3D5F4F868340,14329354AB512D4FMAXICAM2,Y
16,LOTE0050,700,01-07-2022 15:34:38,700,MAXICAM 2,700,4A8FEAF4707BFDA091FE129C,4C43B27A241FEB1CMAXICAM2,Y
17,LOTE0050,700,01-07-2022 15:34:41,700,MAXICAM 2,700,91A7AC7640A1359D05B17353,90D23565A5B95DE1MAXICAM2,Y
18,LOTE0050,700,01-07-2022 15:34:43,700,MAXICAM 2,700,3411D9814EA69606BD1556ED,52CEDB260C0DC2FCMAXICAM2,Y
19,LOTE0050,700,01-07-2022 15:34:46,700,MAXICAM 2,700,0AC55EFF1F402DB051028909,6E4DA93A9B5E02D6MAXICAM2,Y
20,LOTE0050,700,01-07-2022 15:34:48,700,MAXICAM 2,700,225BCECC23F4B3ADECB1B4F2,FB054F5C33FBB2C4MAXICAM2,Y
21,LOTE0050,700,01-07-2022 15:34:49,700,MAXICAM 2,700,6101791CDE757539F5F77F4F,FC87E15D4D145F06MAXICAM2,Y
22,LOTE0050,700,01-07-2022 15:34:52,700,MAXICAM 2,700,19C5A5EDBA2C6ADBE2E5EF46,81D67FB548D53298MAXICAM2,Y
23,LOTE0050,700,01-07-2022 15:34:53,700,MAXICAM 2,700,2B5CF426A7C910535B970E5B,0D1F88BA97107DB1MAXICAM2,Y
24,LOTE0050,700,01-07-2022 15:34:56,700,MAXICAM 2,700,4C30EDA8CAC895AB54B6DB8E,5CCCE5939428C508MAXICAM2,Y
25,LOTE0050,700,01-07-2022 15:34:59,700,MAXICAM 2,700,AA6143C8B09ACF16A82B76D9,C9EAB20893692A12MAXICAM2,Y
